Date,Date,Organic_Traffic,Unique_Visits,First_Time_Visits,Returning_Visits,Impressions,CTR,Avg_Position,Bounce_Rate,Day_of_Week,Is_Weekend,Month,Traffic_Lag7,Traffic_Lag14,Rolling_Mean_7,Rolling_Std_7,Algorithm_Flag
2014-10-19,2014-10-19,3454,2346,2060,286,2668,0.0483,7.8,0.3304,6,1,10,3031.0,2847.0,4068.5714285714284,1097.1623789185828,0
2014-10-20,2014-10-20,5307,3717,3308,409,3057,0.0257,11.1,0.3765,0,0,10,4814.0,4501.0,4129.0,1040.6867924596709,0
2014-10-21,2014-10-21,5135,3701,3280,421,3081,0.0732,4.6,0.3289,1,0,10,5040.0,4603.0,4199.428571428572,1109.1972858998606,0
2014-10-22,2014-10-22,5084,3611,3177,434,3619,0.0502,6.5,0.3088,2,0,10,5028.0,4187.0,4213.0,1121.7067352922502,0
2014-10-23,2014-10-23,4650,3316,2940,376,3744,0.0342,11.4,0.367,3,0,10,4658.0,4343.0,4221.0,1128.66617444368,0
2014-10-24,2014-10-24,3571,2498,2170,328,2598,0.0334,13.7,0.2587,4,0,10,3624.0,3565.0,4219.857142857143,1128.1538648859653,0
2014-10-25,2014-10-25,2354,1661,1417,244,1546,0.0337,12.7,0.3103,5,1,10,2285.0,2080.0,4212.285714285715,1132.9868658087948,0
2014-10-26,2014-10-26,3497,2508,2218,290,2407,0.0225,11.1,0.3615,6,1,10,3454.0,3031.0,4222.142857142857,1113.5581751861046,0
2014-10-27,2014-10-27,5294,3737,3286,451,3066,0.0498,9.5,0.3516,0,0,10,5307.0,4814.0,4228.285714285715,1108.7226455529365,0
2014-10-28,2014-10-28,4643,3328,2905,423,3388,0.0587,6.3,0.3406,1,0,10,5135.0,5040.0,4226.428571428572,1106.6235218210468,0
2014-10-29,2014-10-29,4596,3279,2863,416,3469,0.0389,8.7,0.2917,2,0,10,5084.0,5028.0,4156.142857142857,1053.6557674072087,0
2014-10-30,2014-10-30,4162,3041,2657,384,2655,0.0396,9.7,0.3278,3,0,10,4650.0,4658.0,4086.4285714285716,996.6341450339821,0
2014-10-31,2014-10-31,2933,2007,1728,279,1856,0.0271,15.0,0.3913,4,0,10,3571.0,3624.0,4016.714285714286,967.2775737924983,0
2014-11-01,2014-11-01,2202,1496,1270,226,1679,0.0259,13.3,0.4074,5,1,11,2354.0,2285.0,3925.5714285714284,1043.3425223998188,0
2014-11-02,2014-11-02,3083,2204,1940,264,1966,0.0574,6.4,0.3729,6,1,11,3497.0,3454.0,3903.8571428571427,1082.3541362190442,0
2014-11-03,2014-11-03,4376,3057,2629,428,2948,0.029,12.0,0.406,0,0,11,5294.0,5307.0,3844.714285714286,1118.9825310351819,0
2014-11-04,2014-11-04,4704,3141,2739,402,4025,0.0372,9.6,0.3712,1,0,11,4643.0,5135.0,3713.5714285714284,963.8618257030497,0
2014-11-05,2014-11-05,4306,3200,2797,403,2830,0.0381,9.0,0.329,2,0,11,4596.0,5084.0,3722.285714285714,973.8888906998418,0
2014-11-06,2014-11-06,4178,3034,2627,407,2703,0.0227,13.0,0.3495,3,0,11,4162.0,4650.0,3680.8571428571427,935.9566280142507,0
2014-11-07,2014-11-07,3236,2318,1975,343,1980,0.0273,14.8,0.3145,4,0,11,2933.0,3571.0,3683.1428571428573,937.3459746488876,0
2014-11-08,2014-11-08,2010,1536,1345,191,1747,0.0288,15.2,0.3814,5,1,11,2202.0,2354.0,3726.4285714285716,903.3098134348016,0
2014-11-09,2014-11-09,2901,2141,1849,292,1951,0.0429,9.3,0.4211,6,1,11,3083.0,3497.0,3699.0,958.5396879281161,0
2014-11-10,2014-11-10,4754,3325,2885,440,2958,0.0426,9.8,0.3824,0,0,11,4376.0,5294.0,3673.0,980.2555789180681,0
2014-11-11,2014-11-11,4417,3203,2793,410,3529,0.0337,12.0,0.4156,1,0,11,4704.0,4643.0,3727.0,1034.3553547983386,0
2014-11-12,2014-11-12,4535,3351,2897,454,3644,0.0254,13.9,0.3445,2,0,11,4306.0,4596.0,3686.0,994.0783000682912,0
2014-11-13,2014-11-13,4274,3194,2758,436,2668,0.0434,9.6,0.4149,3,0,11,4178.0,4162.0,3718.714285714286,1021.2785637434587,0
2014-11-14,2014-11-14,3382,2423,2061,362,1587,0.0279,11.0,0.3622,4,0,11,3236.0,2933.0,3732.4285714285716,1029.0887323489728,0
2014-11-15,2014-11-15,2085,1488,1280,208,1901,0.0374,8.9,0.4451,5,1,11,2010.0,2202.0,3753.285714285714,1018.7783066473467,0
2014-11-16,2014-11-16,3083,2215,1926,289,1867,0.0408,8.1,0.3727,6,1,11,2901.0,3083.0,3764.0,997.5623622945403,0
2014-11-17,2014-11-17,4860,3559,3069,490,3602,0.0348,13.2,0.3821,0,0,11,4754.0,4376.0,3790.0,973.39988356961,0
2014-11-18,2014-11-18,4893,3570,3133,437,2519,0.0313,14.8,0.4131,1,0,11,4417.0,4704.0,3805.1428571428573,991.5512137675021,0
2014-11-19,2014-11-19,4866,3544,3056,488,3647,0.0386,10.5,0.3452,2,0,11,4535.0,4306.0,3873.1428571428573,1054.8095291838902,0
2014-11-20,2014-11-20,4584,3357,2899,458,2624,0.0334,13.9,0.3653,3,0,11,4274.0,4178.0,3920.4285714285716,1096.0381467118816,0
2014-11-21,2014-11-21,3914,2750,2361,389,2969,0.027,12.3,0.4167,4,0,11,3382.0,3236.0,3964.714285714286,1118.7331695993919,0
2014-11-22,2014-11-22,2431,1716,1463,253,1726,0.0392,10.1,0.3756,5,1,11,2085.0,2010.0,4040.714285714286,1090.2574182711326,0
2014-11-23,2014-11-23,3157,2369,2082,287,1807,0.0296,12.8,0.3187,6,1,11,3083.0,2901.0,4090.1428571428573,990.0527643466652,0
2014-11-24,2014-11-24,5045,3615,3146,469,3242,0.03,15.3,0.4386,0,0,11,4860.0,4754.0,4100.714285714285,977.826111720229,0
2014-11-25,2014-11-25,4746,3236,2821,415,3487,0.035,10.7,0.3353,1,0,11,4893.0,4417.0,4127.142857142857,1003.9202206967477,0
2014-11-26,2014-11-26,4314,2919,2513,406,2976,0.0231,15.8,0.3659,2,0,11,4866.0,4535.0,4106.142857142857,986.618370761363,0
2014-11-27,2014-11-27,3663,2476,2162,314,2748,0.1024,3.4,0.4141,3,0,11,4584.0,4274.0,4027.285714285714,936.5528485329779,0
2014-11-28,2014-11-28,3270,2268,1931,337,3052,0.0321,14.1,0.3465,4,0,11,3914.0,3382.0,3895.714285714286,909.6137851281911,0
2014-11-29,2014-11-29,2905,1976,1695,281,1400,0.0285,12.1,0.3344,5,1,11,2431.0,2085.0,3803.714285714286,939.531747607233,0
2014-11-30,2014-11-30,4016,2832,2489,343,3389,0.0365,10.3,0.3732,6,1,11,3157.0,3083.0,3871.4285714285716,835.4206240257753,0
2014-12-01,2014-12-01,5266,3877,3317,560,3589,0.0299,10.8,0.2753,0,0,12,5045.0,4860.0,3994.1428571428573,773.8051926618696,0
2014-12-02,2014-12-02,5795,4274,3700,574,3529,0.0718,4.1,0.3307,1,0,12,4746.0,4893.0,4025.714285714286,826.5379027981123,0
2014-12-03,2014-12-03,5728,4217,3656,561,3313,0.0406,9.5,0.3533,2,0,12,4314.0,4866.0,4175.571428571428,1045.0956666166737,0
2014-12-04,2014-12-04,5293,3830,3295,535,3489,0.0363,11.5,0.3372,3,0,12,3663.0,4584.0,4377.571428571428,1201.2905362071863,0
2014-12-05,2014-12-05,3934,2856,2479,377,3058,0.0265,15.7,0.3007,4,0,12,3270.0,3914.0,4610.428571428572,1197.6667395597226,0
2014-12-06,2014-12-06,3071,2165,1855,310,2082,0.0274,10.2,0.4388,5,1,12,2905.0,2431.0,4705.285714285715,1095.7687886115555,0
2014-12-07,2014-12-07,3876,2984,2582,402,3256,0.0406,8.8,0.3687,6,1,12,4016.0,3157.0,4729.0,1051.2040715294047,0
2014-12-08,2014-12-08,5878,4375,3829,546,3362,0.0322,8.6,0.4,0,0,12,5266.0,5045.0,4709.0,1068.2243834201365,0
2014-12-09,2014-12-09,5712,4187,3635,552,3830,0.0367,13.0,0.3328,1,0,12,5795.0,4746.0,4796.428571428572,1143.7821554158015,0
2014-12-10,2014-12-10,5491,4074,3480,594,3192,0.0284,11.3,0.31,2,0,12,5728.0,4314.0,4784.571428571428,1132.0753592617484,0
2014-12-11,2014-12-11,5144,3801,3247,554,3615,0.0482,8.9,0.3609,3,0,12,5293.0,3663.0,4750.714285714285,1102.3102579409765,0
2014-12-12,2014-12-12,3880,2860,2418,442,3009,0.035,12.8,0.3556,4,0,12,3934.0,3270.0,4729.428571428572,1091.4787915396935,0
2014-12-13,2014-12-13,2605,1838,1538,300,1664,0.0268,12.3,0.3309,5,1,12,3071.0,2905.0,4721.714285714285,1098.2077390435907,0
2014-12-14,2014-12-14,3625,2650,2259,391,1448,0.0215,14.4,0.4274,6,1,12,3876.0,4016.0,4655.142857142857,1222.0857073832726,0
2014-12-15,2014-12-15,4685,3478,3000,478,3253,0.0446,8.7,0.3298,0,0,12,5878.0,5266.0,4619.285714285715,1252.0710462117963,0
2014-12-16,2014-12-16,4891,3338,2861,477,3481,0.0346,9.7,0.2776,1,0,12,5712.0,5795.0,4448.857142857143,1127.1443901250957,0
2014-12-17,2014-12-17,4222,3053,2606,447,3037,0.0386,9.9,0.4148,2,0,12,5491.0,5728.0,4331.571428571428,1010.4780810987195,0
2014-12-18,2014-12-18,3691,2690,2275,415,3027,0.0503,6.9,0.346,3,0,12,5144.0,5293.0,4150.285714285715,872.1692714692696,0
2014-12-19,2014-12-19,2748,1879,1559,320,1496,0.0213,12.8,0.3525,4,0,12,3880.0,3934.0,3942.714285714286,762.2280311222947,0
2014-12-20,2014-12-20,1380,1011,836,175,1315,0.0177,13.5,0.3209,5,1,12,2605.0,3071.0,3781.0,887.5338491197571,0
2014-12-21,2014-12-21,1474,1054,876,178,1581,0.0316,12.7,0.4631,6,1,12,3625.0,3876.0,3606.0,1217.4938740434516,0
2014-12-22,2014-12-22,2452,1715,1394,321,1023,0.0308,11.4,0.3281,0,0,12,4685.0,5878.0,3298.714285714286,1459.3285801223465,0
2014-12-23,2014-12-23,2298,1440,1159,281,1763,0.0439,7.9,0.3849,1,0,12,4891.0,5712.0,2979.714285714286,1345.4026304772997,0
2014-12-24,2014-12-24,1430,947,772,175,874,0.037,11.4,0.4298,2,0,12,4222.0,5491.0,2609.285714285714,1057.658532527664,0
2014-12-25,2014-12-25,1002,667,522,145,767,0.0382,11.9,0.4146,3,0,12,3691.0,5144.0,2210.4285714285716,855.1907890724073,0
2014-12-26,2014-12-26,1486,1005,808,197,1251,0.0357,10.2,0.3894,4,0,12,2748.0,3880.0,1826.2857142857142,661.2305987792051,0
2014-12-27,2014-12-27,1345,941,781,160,826,0.0299,12.2,0.3239,5,1,12,1380.0,2605.0,1646.0,526.3192947251713,0
2014-12-28,2014-12-28,1453,948,765,183,820,0.0306,13.9,0.3591,6,1,12,1474.0,3625.0,1641.0,529.4245303471828,0
2014-12-29,2014-12-29,2173,1472,1228,244,1568,0.0155,18.0,0.3916,0,0,12,2452.0,4685.0,1638.0,530.5867820944421,0
2014-12-30,2014-12-30,2208,1424,1172,252,1142,0.0314,12.8,0.3514,1,0,12,2298.0,4891.0,1598.142857142857,465.76869387119393,0
2014-12-31,2014-12-31,1381,955,773,182,609,0.0316,13.5,0.4014,2,0,12,1430.0,4222.0,1585.2857142857142,443.96160280130823,0
2015-01-01,2015-01-01,1265,876,715,161,1241,0.0343,12.5,0.4222,3,0,1,1002.0,3691.0,1578.2857142857142,447.19261856077185,0
2015-01-02,2015-01-02,1948,1288,1030,258,950,0.046,6.5,0.4259,4,0,1,1486.0,2748.0,1615.857142857143,399.17599651090995,0
2015-01-03,2015-01-03,1742,1096,946,150,1543,0.0273,12.4,0.3388,5,1,1,1345.0,1380.0,1681.857142857143,412.11099984164207,0
2015-01-04,2015-01-04,1896,1409,1186,223,1561,0.0263,12.6,0.4769,6,1,1,1453.0,1474.0,1738.5714285714287,384.4133440030675,0
2015-01-05,2015-01-05,3033,2062,1706,356,1418,0.0214,19.3,0.4055,0,0,1,2173.0,2452.0,1801.857142857143,365.56779059951543,0
2015-01-06,2015-01-06,3445,2327,1942,385,2103,0.0374,10.9,0.3693,1,0,1,2208.0,2298.0,1924.7142857142858,587.9551327229312,0
2015-01-07,2015-01-07,3423,2384,1991,393,2838,0.0386,12.4,0.4142,2,0,1,1381.0,1430.0,2101.4285714285716,825.2847704768056,0
2015-01-08,2015-01-08,3319,2272,1922,350,1900,0.0308,11.5,0.4675,3,0,1,1265.0,1002.0,2393.1428571428573,886.7941190173796,0
2015-01-09,2015-01-09,2783,1941,1663,278,1762,0.0422,8.3,0.3182,4,0,1,1948.0,1486.0,2686.5714285714284,785.3052181886263,0
2015-01-10,2015-01-10,1952,1240,1066,174,1597,0.0306,15.9,0.3773,5,1,1,1742.0,1345.0,2805.8571428571427,714.6599257855513,0
2015-01-11,2015-01-11,2245,1611,1391,220,1914,0.0285,14.5,0.2859,6,1,1,1896.0,1453.0,2835.8571428571427,665.2584531772667,0
2015-01-12,2015-01-12,3928,2518,2125,393,2585,0.0348,13.7,0.3717,0,0,1,3033.0,2173.0,2885.714285714286,592.142075937218,0
2015-01-13,2015-01-13,3810,2621,2239,382,2370,0.0452,8.5,0.3801,1,0,1,3445.0,2208.0,3013.5714285714284,713.4455964175676,0
2015-01-14,2015-01-14,3931,2656,2229,427,3256,0.0197,15.5,0.3622,2,0,1,3423.0,1381.0,3065.714285714286,761.9233807248849,0
2015-01-15,2015-01-15,3523,2457,2069,388,3120,0.0441,7.2,0.3418,3,0,1,3319.0,1265.0,3138.285714285714,823.3431269901415,0
2015-01-16,2015-01-16,2943,1928,1640,288,2442,0.0209,13.6,0.2914,4,0,1,2783.0,1948.0,3167.4285714285716,834.3426268911462,0
2015-01-17,2015-01-17,1751,1237,1052,185,1316,0.0243,19.2,0.4041,5,1,1,1952.0,1742.0,3190.285714285714,824.1856009188125,0
2015-01-18,2015-01-18,2491,1762,1541,221,1436,0.0475,9.0,0.4398,6,1,1,2245.0,1896.0,3161.5714285714284,876.3667149359442,0
2015-01-19,2015-01-19,3766,2665,2271,394,2249,0.0484,9.6,0.3416,0,0,1,3928.0,3033.0,3196.714285714286,837.5588962944064,0
2015-01-20,2015-01-20,4194,2852,2423,429,3066,0.0378,11.4,0.3788,1,0,1,3810.0,3445.0,3173.5714285714284,815.9440048481382,0
2015-01-21,2015-01-21,4038,2916,2482,434,2924,0.045,9.6,0.2985,2,0,1,3931.0,3423.0,3228.4285714285716,876.5230282471867,0
2015-01-22,2015-01-22,3891,2702,2334,368,3222,0.0528,6.5,0.383,3,0,1,3523.0,3319.0,3243.714285714286,891.6201946056241,0
2015-01-23,2015-01-23,3111,2181,1897,284,2419,0.0265,11.9,0.3571,4,0,1,2943.0,2783.0,3296.285714285714,921.1904823443978,0
2015-01-24,2015-01-24,1946,1414,1239,175,807,0.0454,9.1,0.3554,5,1,1,1751.0,1952.0,3320.285714285714,912.6006271978473,0
2015-01-25,2015-01-25,2802,2010,1740,270,2380,0.0313,13.3,0.3457,6,1,1,2491.0,2245.0,3348.1428571428573,858.0608814008921,0
2015-01-26,2015-01-26,3892,2841,2466,375,2263,0.0443,8.5,0.3482,0,0,1,3766.0,3928.0,3392.5714285714284,813.1596516352853,0
2015-01-27,2015-01-27,4172,3003,2592,411,2689,0.027,15.8,0.3767,1,0,1,4194.0,3810.0,3410.5714285714284,824.124152690369,0
2015-01-28,2015-01-28,4464,3280,2862,418,3131,0.0453,8.5,0.3041,2,0,1,4038.0,3931.0,3407.4285714285716,820.6732718004276,0
2015-01-29,2015-01-29,4377,3143,2679,464,3773,0.0442,10.0,0.3425,3,0,1,3891.0,3523.0,3468.285714285714,888.2403417780034,0
2015-01-30,2015-01-30,3734,2514,2129,385,3804,0.0347,13.8,0.3644,4,0,1,3111.0,2943.0,3537.714285714286,944.0301397529128,0
2015-01-31,2015-01-31,2262,1657,1443,214,1854,0.0469,8.4,0.338,5,1,1,1946.0,1751.0,3626.714285714286,926.2966972998288,0
2015-02-01,2015-02-01,3050,2122,1825,297,2046,0.0353,12.4,0.4473,6,1,2,2802.0,2491.0,3671.8571428571427,833.8198103849987,0
2015-02-02,2015-02-02,4794,3366,2867,499,3457,0.0293,14.7,0.3191,0,0,2,3892.0,3766.0,3707.285714285714,795.0682809850802,0
2015-02-03,2015-02-03,4936,3423,2922,501,3690,0.0594,5.8,0.325,1,0,2,4172.0,4194.0,3836.1428571428573,896.6047863229047,0
2015-02-04,2015-02-04,5016,3500,3023,477,3258,0.0379,11.2,0.3114,2,0,2,4464.0,4038.0,3945.285714285714,986.3148101706187,1
2015-02-05,2015-02-05,4489,3170,2753,417,3765,0.0258,11.7,0.4309,3,0,2,4377.0,3891.0,4024.1428571428573,1054.4142811013492,0
2015-02-06,2015-02-06,3505,2468,2075,393,2505,0.0334,13.9,0.3913,4,0,2,3734.0,3111.0,4040.1428571428573,1061.487074591023,0
2015-02-07,2015-02-07,2264,1679,1437,242,1812,0.0382,8.4,0.3447,5,1,2,2262.0,1946.0,4007.4285714285716,1075.925316048602,0
2015-02-08,2015-02-08,3314,2435,2100,335,2556,0.0498,7.6,0.4161,6,1,2,3050.0,2802.0,4007.714285714286,1075.3846930727798,0
2015-02-09,2015-02-09,5095,3619,3125,494,3606,0.0274,12.2,0.3587,0,0,2,4794.0,3892.0,4045.4285714285716,1040.2547535969018,0
2015-02-10,2015-02-10,5525,3793,3272,521,4050,0.0369,11.2,0.3561,1,0,2,4936.0,4172.0,4088.4285714285716,1081.7484083869122,0
2015-02-11,2015-02-11,5074,3689,3190,499,3177,0.0337,11.3,0.3367,2,0,2,5016.0,4464.0,4172.571428571428,1177.3471390011887,0
2015-02-12,2015-02-12,4571,3319,2810,509,2876,0.0243,11.9,0.3259,3,0,2,4489.0,4377.0,4180.857142857143,1184.454787173044,0
2015-02-13,2015-02-13,3570,2664,2253,411,2015,0.042,9.4,0.3818,4,0,2,3505.0,3734.0,4192.571428571428,1188.409140706299,0
2015-02-14,2015-02-14,2182,1565,1323,242,1736,0.0271,12.9,0.3616,5,1,2,2264.0,2262.0,4201.857142857143,1182.3800049859074,0
2015-02-15,2015-02-15,3265,2277,1935,342,2570,0.0353,12.5,0.4457,6,1,2,3314.0,3050.0,4190.142857142857,1204.9693534929181,0
2015-02-16,2015-02-16,4670,3297,2826,471,3347,0.0433,8.6,0.3035,0,0,2,5095.0,4794.0,4183.142857142857,1211.0344653189993,0
2015-02-17,2015-02-17,4764,3452,2957,495,3894,0.0262,16.4,0.4171,1,0,2,5525.0,4936.0,4122.428571428572,1167.5736746408272,0
2015-02-18,2015-02-18,4943,3526,3026,500,3337,0.027,12.1,0.3477,2,0,2,5074.0,5016.0,4013.714285714286,1044.1140924703764,0
2015-02-19,2015-02-19,4790,3307,2811,496,3508,0.0485,7.1,0.3662,3,0,2,4571.0,4489.0,3995.0,1022.9011030723676,0
2015-02-20,2015-02-20,3604,2621,2241,380,2040,0.0267,13.4,0.4016,4,0,2,3570.0,3505.0,4026.285714285714,1046.5305719830824,0
2015-02-21,2015-02-21,2455,1823,1569,254,1581,0.0454,9.1,0.355,5,1,2,2182.0,2264.0,4031.1428571428573,1044.136074875848,0
2015-02-22,2015-02-22,3650,2690,2329,361,2784,0.0367,13.8,0.4024,6,1,2,3265.0,3314.0,4070.1428571428573,965.7096576389521,0
2015-02-23,2015-02-23,5463,3975,3433,542,4014,0.0241,13.9,0.2356,0,0,2,4670.0,5095.0,4125.142857142857,922.1949230994904,0
2015-02-24,2015-02-24,5884,4112,3542,570,3828,0.0537,7.6,0.312,1,0,2,4764.0,5525.0,4238.428571428572,1041.2986854793155,0
2015-02-25,2015-02-25,5615,4019,3432,587,3744,0.0186,13.2,0.3068,2,0,2,4943.0,5074.0,4398.428571428572,1208.1871898486106,0
2015-02-26,2015-02-26,5289,3747,3186,561,2955,0.0268,11.7,0.297,3,0,2,4790.0,4571.0,4494.428571428572,1283.0480449750437,0
2015-02-27,2015-02-27,4434,2969,2486,483,2869,0.024,13.5,0.3493,4,0,2,3604.0,3570.0,4565.714285714285,1315.6546804139884,0
2015-02-28,2015-02-28,2665,1977,1694,283,2227,0.0158,17.7,0.3941,5,1,2,2455.0,2182.0,4684.285714285715,1250.3148555844778,0
2015-03-01,2015-03-01,3907,2906,2519,387,2902,0.0282,10.5,0.3928,6,1,3,3650.0,3265.0,4714.285714285715,1188.9227216666495,0
2015-03-02,2015-03-02,5308,3778,3222,556,3775,0.0472,8.2,0.3579,0,0,3,5463.0,4670.0,4751.0,1154.0359613114294,0
2015-03-03,2015-03-03,5773,4025,3490,535,3894,0.0479,7.5,0.3155,1,0,3,5884.0,4764.0,4728.857142857143,1139.4930786057769,0
2015-03-04,2015-03-04,5585,4060,3457,603,3756,0.0491,7.8,0.36,2,0,3,5615.0,4943.0,4713.0,1121.3671715068747,0
2015-03-05,2015-03-05,4783,3582,3049,533,2972,0.0396,10.5,0.3591,3,0,3,5289.0,4790.0,4708.714285714285,1117.3955900941708,0
2015-03-06,2015-03-06,3893,2707,2259,448,2942,0.0327,12.3,0.4025,4,0,3,4434.0,3604.0,4636.428571428572,1089.621319104768,0
2015-03-07,2015-03-07,2917,2048,1723,325,2202,0.0337,12.7,0.4072,5,1,3,2665.0,2455.0,4559.142857142857,1124.9848041301739,0
2015-03-08,2015-03-08,3353,2468,2104,364,2512,0.0274,14.1,0.3717,6,1,3,3907.0,3650.0,4595.142857142857,1056.1982813486327,0
2015-03-09,2015-03-09,5400,3824,3246,578,3424,0.0305,10.4,0.3103,0,0,3,5308.0,5463.0,4516.0,1134.2296945504452,0
2015-03-10,2015-03-10,5395,3926,3350,576,2770,0.0318,14.8,0.3204,1,0,3,5773.0,5884.0,4529.142857142857,1145.4143978740353,0
2015-03-11,2015-03-11,5229,3859,3263,596,3963,0.0359,9.7,0.3265,2,0,3,5585.0,5615.0,4475.142857142857,1084.2786278706865,0
2015-03-12,2015-03-12,5371,3784,3204,580,3424,0.0168,18.7,0.3344,3,0,3,4783.0,5289.0,4424.285714285715,1030.5640388133259,0
2015-03-13,2015-03-13,4185,3045,2559,486,2506,0.0289,13.0,0.3719,4,0,3,3893.0,4434.0,4508.285714285715,1087.0888823344824,0
2015-03-14,2015-03-14,2724,1988,1675,313,2187,0.0358,9.3,0.4069,5,1,3,2917.0,2665.0,4550.0,1064.9201848025962,0
2015-03-15,2015-03-15,3590,2620,2196,424,2311,0.0431,8.2,0.3656,6,1,3,3353.0,3907.0,4522.428571428572,1115.5414017631147,0
2015-03-16,2015-03-16,5367,3771,3192,579,4037,0.034,11.9,0.348,0,0,3,5400.0,5308.0,4556.285714285715,1077.0663418573158,0
2015-03-17,2015-03-17,5440,3968,3387,581,3907,0.0406,9.7,0.3524,1,0,3,5395.0,5773.0,4551.571428571428,1072.821802093719,0
2015-03-18,2015-03-18,5465,4043,3458,585,3949,0.0264,12.5,0.3252,2,0,3,5229.0,5585.0,4558.0,1078.8361012374999,0
2015-03-19,2015-03-19,5318,3813,3262,551,3035,0.0299,11.9,0.3101,3,0,3,5371.0,4783.0,4591.714285714285,1106.629675228002,0
2015-03-20,2015-03-20,4225,2916,2462,454,3362,0.0406,10.8,0.2887,4,0,3,4185.0,3893.0,4584.142857142857,1100.5740060791634,0
2015-03-21,2015-03-21,2687,1975,1667,308,1990,0.0424,9.4,0.3497,5,1,3,2724.0,2917.0,4589.857142857143,1098.2576243868307,0
2015-03-22,2015-03-22,3791,2786,2388,398,2449,0.0645,6.7,0.3848,6,1,3,3590.0,3353.0,4584.571428571428,1108.7730241341617,0
2015-03-23,2015-03-23,5661,3949,3331,618,3860,0.0478,8.9,0.3153,0,0,3,5367.0,5400.0,4613.285714285715,1080.97775405505,0
2015-03-24,2015-03-24,5759,4081,3487,594,3155,0.036,12.8,0.3332,1,0,3,5440.0,5395.0,4655.285714285715,1120.145037377705,0
2015-03-25,2015-03-25,5599,3983,3378,605,3926,0.028,10.9,0.3638,2,0,3,5465.0,5229.0,4700.857142857143,1163.0578129183739,0
2015-03-26,2015-03-26,5103,3755,3184,571,3031,0.0573,6.8,0.3717,3,0,3,5318.0,5371.0,4720.0,1178.7282695063047,0
